ATVI
ADBE
AMD
ALXN
ALGN
GOOG
GOOGL
AMZN
AAL
AMGN
ADI
AAPL
AMAT
ASML
ADSK
ADP
BIDU
BIIB
BMRN
BKNG
AVGO
CDNS
CELG
CERN
CHTR
CHKP
CTAS
CSCO
CTXS
CTSH
CMCSA
COST
CSX
CTRP
DLTR
EBAY
EA
EXPE
FB
FAST
FISV
FOX
FOXA
GILD
HAS
HSIC
IDXX
ILMN
INCY
INTC
INTU
ISRG
JBHT
JD
KLAC
LRCX
LBTYA
LBTYK
LULU
MAR
MXIM
MELI
MCHP
MU
MSFT
MDLZ
MNST
MYL
NTAP
NTES
NFLX
NVDA
NXPI
ORLY
PCAR
PAYX
PYPL
PEP
QCOM
REGN
ROST
SIRI
SWKS
SBUX
SYMC
SNPS
TMUS
TTWO
TSLA
TXN
KHC
ULTA
UAL
VRSN
VRSK
VRTX
WBA
WDC
WLTW
WDAY
WYNN
XEL
XLNX
