Date,estimate,change,upper,lower
2019-05-19,132.17606781274546,0.28591420103671794,141.5767329258037,122.69817623772497
2019-05-27,131.20326252730456,0.8066960652519981,140.9121080310916,121.80255297386759
2019-05-28,132.13411564164034,0.9308531143357754,141.5990824165692,122.67576739694506
2019-05-29,132.59470318191558,0.46058754027524174,141.96005914866765,123.30802710522451
2019-06-03,132.69103400358767,1.2132203830873323,141.3475175693511,123.37638157078882
2019-06-04,134.0055739594867,1.314539955899022,143.9676323840049,124.16097904362933
2019-06-05,134.60036354520597,0.5947895857192691,143.98255512426582,124.5591219693414
2019-06-10,133.25167077634475,0.7210903371116615,142.87659981663512,124.2415936585999
2019-06-11,134.01834554496293,0.7666747686181736,143.60253478084647,124.93088631918235
2019-06-12,134.25891382156217,0.24056827659924807,143.40178057614673,124.98950929579439
2019-06-17,133.16896187472685,0.336398559389238,143.12904495886116,123.40114397922827
2019-06-18,133.55874515057576,0.38978327584891304,142.92096204789195,123.1838341342748
2019-06-19,133.81923312022082,0.2604879696450553,143.79465785885344,124.18018539424368
2019-06-20,133.9030566577926,0.08382353757178862,143.53656141379645,124.59802861784027
2019-06-25,132.91668648434623,0.1192102711087557,141.83464886838883,122.60863751162009
2019-06-26,133.64514953383048,0.7284630494842474,143.23637468573662,124.19649607742872
2019-06-27,134.7616051434791,1.1164556096486251,144.22926419687153,124.97060688644119
2019-06-28,135.70766571845866,0.9460605749795548,145.2518354875749,125.53758927721536
2019-07-02,135.3272177142647,0.19362552201496896,144.3469744493628,126.39130545712848
2019-07-03,136.48697445651985,1.159756742255155,145.87198060757237,127.12413996256113
2019-07-04,138.1913350377473,1.704360581227462,146.7214293295291,129.12209714267433
2019-07-05,139.59012997483464,1.398794937087331,148.52797863178074,129.66232223543767
2019-07-07,139.7011582746982,0.11102829986356255,149.5428120222979,130.70949044417975
2019-07-09,139.34750932980793,0.13471199008674262,148.92878960305148,130.37483783514406
2019-07-10,140.32044250729956,0.9729331774916261,150.42432682423743,130.70586740098219
2019-07-11,141.70244240323163,1.3819998959320685,150.1773184278513,131.1774923236622
2019-07-12,142.82311408355096,1.120671680319333,151.47789314694126,133.9917888135182
2019-07-14,143.3241842943659,0.5010702108149303,153.51154707740895,134.00031777356972
2019-07-15,143.333115590369,0.008931296003112266,153.11990474358163,134.02771320819235
2019-07-16,143.7087364559741,0.3756208656051001,152.67712842755154,134.54345596075447
2019-07-17,144.47991029297557,0.77117383700147,154.31172501345486,134.99182373590526
2019-07-18,145.4129426566657,0.9330323636901312,154.6432382479555,135.27769256574337
2019-07-19,146.25639798220024,0.843455325534535,156.21524926240042,136.87790766603652
2019-07-21,147.30372131583331,1.0473233336330736,157.2671891427906,137.42807884297568
2019-07-22,147.47394271688282,0.17022140104950267,157.82797659143193,138.59033629892272
2019-07-25,147.2515730356366,0.020104872310014343,156.7375531333003,137.4827276839578
2019-07-26,147.7559866303885,0.5044135947518953,157.841806743486,138.09581198790187
2019-07-28,149.76827564556302,2.012289015174531,159.87233695945156,140.2155751935406
2019-07-29,150.2630839861769,0.49480834061387213,160.3280038767018,140.7675039846097
2019-08-02,148.73778044887774,0.23430365976096823,157.91639455885567,139.09520378733325
2019-08-04,150.84390198139658,2.1061215325188414,160.92978417641683,141.19108669432543
2019-08-05,151.20313803929014,0.35923605789355406,160.5480363047288,141.94048847974983
2019-08-11,149.3286560418427,1.1205099193191757,158.9863735022806,139.98412002422108
2019-08-12,149.42341108231824,0.0947550404755475,158.34552844420173,139.9334173673813
2019-08-18,148.38635481297823,0.7039474684573008,158.12364438470684,138.83756091860374
2019-08-19,148.65634884042385,0.2699940274456196,158.83307521570595,138.7125913139919
2019-08-20,148.75658747326437,0.10023863284052936,158.62471264448138,138.99850832509875
2019-08-26,148.42974699562976,0.6705151597480494,157.6851998447193,138.27267667584462
2019-08-27,149.45946429270148,1.029717297071727,159.91451991811846,139.19932572212767
2019-08-28,150.28706582534699,0.8276015326455024,160.3126391408403,139.98893596688154
2019-08-29,150.41366421809408,0.1265983927470984,160.55315169521106,140.61283555421412
2019-09-02,149.96153328890674,0.8718317680860252,159.65734741998762,139.95271865016736
2019-09-03,151.34862699866937,1.3870937097626381,161.71289580980044,140.7002600097139
2019-09-04,152.40436000937567,1.055733010706291,162.1356750757468,141.50260381450744
2019-09-05,152.51281739802505,0.10845738864938426,162.07534658562588,142.5868366102966
2019-09-09,151.1968146935847,0.5732155324305381,161.81002886694907,140.52319745348822
2019-09-10,152.18397904568897,0.9871643521042586,162.74031092326024,142.2522649304651
2019-09-11,152.91995296846994,0.7359739227809712,163.1369124550099,142.6915575936002
2019-09-12,153.03826486746215,0.11831189899220362,162.7506236481119,143.16140867763337
2019-09-16,152.95683157835964,0.49898936530019,163.56902159937042,142.1856278136991
2019-09-17,153.64774390370275,0.6909123253431062,163.75723128985953,143.23060670686323
2019-09-18,154.27978446358335,0.6320405598806076,163.80291487328532,144.0256994844009
2019-09-19,154.7354123370509,0.4556278734675345,165.16647547072634,144.2578657552524
2019-09-20,154.99480608430966,0.25939374725876974,165.1163345362048,144.44544069721243
2019-09-25,155.04942282749704,0.46204748770983883,165.80728733459176,144.45576997306318
2019-09-26,155.9977604595252,0.9483376320281707,166.01493607163542,145.1076864652463
2019-09-27,157.00506411068685,1.0073036511616351,168.61626639645513,146.11526535411963
2019-09-29,157.12416124807282,0.11909713738597816,168.11240321630362,145.9758857572793
2019-10-02,155.80546516441476,0.18236261906514528,166.21992860451425,145.17783778710253
2019-10-03,156.75192508228312,0.946459917868367,168.313749309815,146.46577164433143
