Date,estimate,change,upper,lower
2019-05-20,258.6342765173519,0.929405786764903,280.71522213699495,238.09087357913612
2019-05-21,260.418206510424,1.7839299930720927,281.6487016494953,240.22037780028296
2019-05-22,261.6591953363634,1.2409888259393824,281.4246441223494,241.4146435599077
2019-05-27,259.75404061714465,0.7886731520472949,281.89964594798585,238.99784691056405
2019-05-28,260.264008721636,0.5099681044913495,282.0499963455899,238.30895365997327
2019-06-02,259.2760636712934,1.3711023354387635,279.47986692705797,237.21547893424685
2019-06-03,259.6630987493091,0.3870350780156855,279.9728342841205,239.97611000364031
2019-06-06,257.78447990692104,0.041589425792494694,278.1332759464362,236.1072717729361
2019-06-07,259.9073450782827,2.1228651713616387,281.944676570772,239.80179800862365
2019-06-09,266.25019811320874,6.3428530349260654,287.4956666191508,245.52805283327925
2019-06-10,267.07480166726754,0.8246035540587968,287.81804047636274,247.1971045782791
2019-06-14,266.130394030302,1.5152596634893598,287.04342001186365,245.77072203975104
2019-06-16,268.8748181220145,2.744424091712517,289.96636665622896,248.3060538281554
2019-06-19,268.714336902465,0.6436890524808518,290.11603963103425,248.7759839087294
2019-06-20,270.61784109824,1.9035041957749854,289.9905682979118,249.94543922554982
2019-06-21,272.6615615993688,2.043720501128803,293.0349894925138,250.33271313935143
2019-06-23,272.8655220971519,0.20396049778310044,292.8591215447581,251.29055143878156
2019-06-26,271.77256860825884,0.5757376127027101,292.8031999179534,250.02647016032503
2019-06-27,272.59793260443746,0.8253639961786234,293.90188283247073,250.03313006932908
2019-06-28,272.60886501076493,0.010932406327469835,293.5385767354676,252.3353406139786
2019-07-02,270.8042406163685,0.6612055016919953,290.9683770400697,249.06482416520763
2019-07-03,271.454925861645,0.6506852452765202,292.87472107972224,249.81767806412853
2019-07-07,269.7975041940676,0.02821908523583261,289.63483932591373,248.14157024007332
2019-07-08,272.6741215427342,2.8766173486666275,293.91751684174176,252.0634100525328
2019-07-09,276.0256693946947,3.351547851960504,295.90802875081397,254.19082372796998
2019-07-10,277.9465963376813,1.9209269429865685,299.0302408391925,257.5918412711402
2019-07-14,276.5316624184126,0.23312094186309196,297.78454007969026,254.6353923531794
2019-07-15,278.60086863371606,2.0692062153034385,300.3420267542449,255.90021390362892
2019-07-16,280.29990807671214,1.6990394429960816,301.08754054646727,258.634840356274
2019-07-17,280.72668886159113,0.42678078487898574,302.6128258880421,260.566110646004
2019-07-19,280.59544191708335,0.21366021799269674,301.80665616807534,258.90238649213154
2019-07-21,284.50006014578804,3.9046182287046918,305.240294137789,261.9509895231892
2019-07-22,286.2018577412798,1.7017975954917688,309.02139530946545,265.09900593587867
2019-07-23,286.31492626006684,0.11306851878703128,308.7318875961693,264.47000727494924
2019-07-28,284.4414203879039,0.4703932092177183,307.9756246105795,262.773143233244
2019-08-08,269.5621466122952,1.1321687917471763,292.9015015905907,247.7722459458488
2019-08-09,270.0779119962042,0.515765383909013,292.6453739443222,248.07487422815984
2019-08-20,252.66902371404018,0.6155320999636729,274.89307691822177,229.11121294172588
2019-08-21,253.60263840292023,0.9336146888800556,276.12612575376426,229.90491100724674
2019-08-26,249.63614117238774,0.25510930990907354,273.99626066648307,224.1141021855721
2019-08-27,250.2581325677201,0.6219913953323726,273.88553277995356,223.556881932087
2019-09-01,248.54105717190487,0.5359309447907208,274.08743248761664,223.6250589547471
2019-09-02,249.29194162953928,0.7508844576344131,273.26683168537346,223.341541497745
2019-09-06,247.79641910068432,0.9118259374962747,271.5216347768223,222.30629428853007
2019-09-08,253.84357340829203,6.0471543076077126,280.8824565420059,227.32301675681168
2019-09-09,255.60047459197662,1.7569011836845903,279.7495275437196,229.94339533498965
2019-09-13,253.18615327499333,0.6809167334569679,278.4398560070991,226.88938081829156
2019-09-15,256.41908106830107,3.232927793307738,281.4360067789603,231.18362472727688
2019-09-16,256.6248653201176,0.20578425181651028,283.38094528418105,232.02304983627442
2019-09-18,256.23428741401256,0.12040500776572571,281.1053923694713,228.94481925763392
2019-09-19,257.79376159993353,1.5594741859209762,283.26824722420514,230.1439373794499
2019-09-20,260.2388122879599,2.445050688026356,286.14302849948024,234.33396387967426
2019-09-22,262.6343135153612,2.3955012274013257,288.70239288641136,236.1902632061873
2019-09-25,262.24452261593433,0.6488335016945257,288.65177338983136,235.15295669155788
2019-09-26,263.67727402988504,1.4327514139507116,289.0756396793755,235.41768519519186
2019-09-27,264.78641739444225,1.1091433645572124,290.77976227342685,236.33106546888834
2019-10-01,264.53075162111236,0.697063887750403,291.89047717810814,234.73667799872464
2019-10-02,265.71151224117585,1.180760620063495,294.27368522943783,237.74540708182906
2019-10-03,266.1991394750002,0.48762723382435524,292.8114133980053,235.32962650541523
2019-10-07,265.76596419829843,1.7934822596382105,294.00934488876356,237.52173525376134
2019-10-08,268.7940761010278,3.0281119027293926,299.4358233106818,237.98437554382352
2019-10-09,271.1618729648959,2.3677968638680795,300.2143981531493,238.79848368408034
2019-10-10,271.38781931417566,0.2259463492797522,300.22213063507417,242.1306240084144
2019-10-14,267.52363041357165,0.7374661598922785,297.0557076762506,234.7290349499645
2019-10-15,268.6142061388769,1.090575725305257,297.6446007353788,239.50603512003633
2019-10-16,268.7175997991576,0.10339366028068753,298.20471874312625,238.80549501311197
2019-10-20,267.83641432019317,1.3549062828909655,298.5372997172828,234.6320135674915
2019-10-21,269.40474680743534,1.5683324872421736,298.85597691364705,234.10507930072464
2019-10-22,269.87282921869246,0.4680824112571145,299.3621237848968,236.6348489317275
2019-10-27,268.54465209252544,1.5340653970426956,298.9824415453856,235.66300100597473
