Date,estimate,change,upper,lower
2019-05-20,59.458162168458195,0.031232364349577324,61.78080287793372,56.91906064344309
2019-05-21,59.59408326336754,0.13592109490934234,62.09351830151541,57.019516485014215
2019-05-22,59.82687352936039,0.23279026599285402,62.05625187466931,57.39811996232396
2019-05-23,60.098511855322876,0.27163832596248483,62.55350246276962,57.56227573201415
2019-05-24,60.334382586324296,0.23587073100141964,62.766095486802286,57.730568696230335
2019-05-26,60.61897142671913,0.28458884039483223,63.01915302374726,58.09650054719026
2019-05-27,60.77089652857375,0.15192510185462282,63.36142635037103,58.160867682704996
2019-05-28,61.00147801801646,0.23058148944271295,63.38259276908665,58.446562796392044
2019-05-29,61.283525242749455,0.2820472247329917,64.01421860849794,58.70643872247462
2019-05-30,61.527065952805984,0.24354071005652855,64.14411470379551,59.06355905277654
2019-05-31,61.65128635163005,0.12422039882406466,64.12223796186476,59.05847378027406
2019-06-03,61.73508451289483,0.09064376905241289,64.25834365677396,59.2827634518948
2019-06-04,61.99164473100465,0.25656021810981855,64.42595898883962,59.645260068869774
2019-06-05,62.36521435294746,0.3735696219428135,64.95107726048334,59.772013975457504
2019-06-06,62.732218110519995,0.3670037575725331,65.23165744960693,60.07842907425147
2019-06-07,62.98206786049406,0.24984974997406795,65.34258697821114,60.295619173099794
2019-06-09,63.109843957031316,0.12777609653725364,65.60215121591553,60.62419747658972
2019-06-10,63.13957687138119,0.029732914349871464,65.50416876287336,60.49291018182395
2019-06-11,63.23367567563305,0.09409880425186401,65.82103906800904,60.570414773046046
2019-06-12,63.38723530094943,0.153559625316376,65.87061178791649,60.918216894013085
2019-06-13,63.55408884312936,0.1668535421799291,66.10968685467866,61.13175325381593
2019-06-14,63.68546725932539,0.13137841619603563,66.3539044595075,61.15354183900205
2019-06-16,63.75712212010504,0.07165486077964545,66.31127464746578,60.88280740813464
2019-06-20,63.62508296579258,0.030789330138105697,65.92619760620968,61.06587376480959
2019-06-21,63.74902989169379,0.12394692590120826,66.34760260771773,61.10652378653344
2019-06-23,64.10791816020064,0.3588882685068526,66.62860409696019,61.53122928501622
2019-06-24,64.21253874272479,0.10462058252414863,66.7212248943887,61.58152793536734
2019-06-25,64.2462354645682,0.03369672184341255,66.77805131035791,61.658936324079065
2019-06-26,64.26985090014595,0.02361543557775292,66.92220063811098,61.72176704168037
2019-06-27,64.35493185923463,0.08508095908867119,66.88067364227047,61.70244066898656
2019-06-28,64.51738437463149,0.16245251539686478,67.09092935260318,61.78673763681736
2019-06-30,64.79279474684246,0.2754103722109704,67.54002066082867,62.14877205566256
2019-07-04,64.75475675771457,0.12029785930324977,67.30962463512232,62.01204493961978
2019-07-05,65.04186763487122,0.28711087715664974,67.91974216191035,62.28681675492805
2019-07-07,65.70163218250146,0.6597645476302318,68.52769638035845,63.0369909820222
2019-07-08,65.87065707396059,0.1690248914591308,68.73123715583574,63.27072644651579
2019-07-09,65.92743553078321,0.05677845682262728,68.74093413557453,63.18593933827862
2019-07-10,65.95561609746052,0.02818056667730673,68.88517572709617,63.32773767961429
2019-07-11,66.03421452531398,0.07859842785346416,68.60845353998904,63.20018959885631
2019-07-12,66.18739075400184,0.15317622868785463,69.07330174603572,63.60671739009159
2019-07-14,66.5672749593838,0.37988420538195555,69.45454701345201,63.75365213704713
2019-07-15,66.6985207284367,0.13124576905291008,69.44895939772118,63.82567587462841
2019-07-16,66.76018084809475,0.0616601196580433,69.68364031255405,63.89678240878755
2019-07-21,66.6997002148145,0.049625819811979,69.60846753806452,63.58646065997335
2019-07-22,66.8351891459406,0.13548893112610472,69.91815065926306,63.660704383280176
2019-07-23,66.98560369908586,0.15041455314525365,70.01847835710677,64.04650924335259
2019-07-24,67.07832883165317,0.09272513256730974,70.29923530433243,63.929250418415904
2019-07-25,67.07896991470582,0.0006410830526561995,70.00723147468922,64.06845014392127
2019-07-29,67.08207226544742,0.0733262439163127,69.95637458788363,64.1046494186585
2019-07-30,67.11424050245242,0.0321682370049956,70.27807592157494,63.888350269313094
2019-08-05,66.81611593499625,0.2142671226007593,70.0223453639869,63.61601408205234
2019-08-06,67.04066769238268,0.22455175738643618,70.30997244551739,63.63258544092678
2019-08-07,67.16597985744309,0.1253121650604072,70.58415836784158,64.07413432298713
2019-08-11,67.10032357531186,0.0004370423326776063,70.29081526978553,63.72346950659943
2019-08-12,67.21546103844412,0.11513746313225681,70.50169188833567,63.924364301553055
2019-08-13,67.35678436064157,0.1413233221974508,70.79537355641054,63.845895120190676
2019-08-14,67.47306522969244,0.11628086905086832,70.87895103822183,63.952979087844454
2019-08-15,67.53447653816839,0.061411308475953774,71.02496384701645,64.24817773254757
2019-08-16,67.53452547075746,4.8932589066907894e-05,70.97513316437013,64.10718641281458
2019-08-20,67.37504054166551,0.015195426171942472,70.95559812169424,63.86486174737929
2019-08-21,67.47268015384999,0.09763961218448003,71.01673788590935,63.82313403206727
2019-08-22,67.61755095071527,0.14487079686527693,71.778557834556,64.01581971769942
2019-08-23,67.73688913999978,0.11933818928450535,71.54510655766639,64.30651684417906
2019-08-28,67.59058140905506,0.011744286161729178,71.21647468098656,63.77680752904698
2019-08-29,67.59786392369993,0.00728251464487073,71.48773987681588,63.72354288206617
2019-09-04,66.60357026622879,0.035981481848850194,70.83249244758615,62.42755066924638
2019-09-05,66.70607781750863,0.10250755127984235,71.18300569262037,62.41903735349702
2019-09-06,66.7489371869244,0.042859369415765514,71.19579395069671,62.852965348790455
2019-09-22,65.07825965432855,0.07217639643597806,70.15904737762357,60.20192569945091
